Price,Open,High,Low,Close,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2018-01-02,5318.740234375,5318.740234375,5258.66015625,5288.60009765625,66802600
2018-01-03,5295.31005859375,5347.6298828125,5291.89013671875,5331.27978515625,75371700
2018-01-04,5360.009765625,5430.72021484375,5360.009765625,5413.68994140625,92583500
2018-01-05,5424.16015625,5470.75,5422.77978515625,5470.75,76275800
2018-01-08,5483.47021484375,5499.14990234375,5478.919921875,5487.419921875,72318000
2018-01-09,5491.91015625,5525.669921875,5491.91015625,5523.93994140625,78844900
2018-01-10,5518.31982421875,5529.2998046875,5487.56005859375,5504.68017578125,96478300
2018-01-11,5514.08984375,5516.58984375,5478.97021484375,5488.5498046875,83544400
2018-01-12,5502.6298828125,5520.18017578125,5486.08984375,5517.06005859375,80659900
2018-01-15,5515.5498046875,5525.009765625,5501.27978515625,5509.68994140625,56215000
2018-01-16,5513.7001953125,5535.9501953125,5500.22021484375,5513.81982421875,69422000
2018-01-17,5496.259765625,5518.39013671875,5485.02001953125,5493.990234375,72741600
2018-01-18,5511.2998046875,5515.16015625,5474.10986328125,5494.830078125,82084500
2018-01-19,5493.990234375,5528.89013671875,5490.31982421875,5526.509765625,78466200
2018-01-22,5520.2099609375,5543.06005859375,5512.27001953125,5541.990234375,77421200
2018-01-23,5563.56005859375,5567.02978515625,5521.830078125,5535.259765625,85807600
2018-01-24,5532.85009765625,5538.580078125,5495.16015625,5495.16015625,85219400
2018-01-25,5493.81005859375,5525.759765625,5456.0498046875,5481.2099609375,84803300
2018-01-26,5496.830078125,5539.77001953125,5493.66015625,5529.14990234375,65388300
2018-01-29,5534.14013671875,5537.52978515625,5517.669921875,5521.58984375,60112400
2018-01-30,5493.93017578125,5518.93994140625,5464.85009765625,5473.77978515625,80083100
2018-01-31,5483.509765625,5496.77978515625,5471.18017578125,5481.93017578125,83562500
2018-02-01,5510.58984375,5529.39990234375,5432.58984375,5454.5498046875,87026200
2018-02-02,5433.83984375,5437.259765625,5364.97998046875,5364.97998046875,99312300
2018-02-05,5322.93994140625,5332.77001953125,5283.27001953125,5285.830078125,96711900
2018-02-06,5104.27978515625,5226.1298828125,5101.14990234375,5161.81005859375,175358700
2018-02-07,5208.10986328125,5267.8798828125,5169.39990234375,5255.89990234375,117755000
2018-02-08,5229.77978515625,5248.43994140625,5129.52001953125,5151.68017578125,123977500
2018-02-09,5133.4599609375,5155.8701171875,5051.2099609375,5079.2099609375,143039900
2018-02-12,5130.39990234375,5165.75,5113.81982421875,5140.06005859375,93467100
2018-02-13,5136.08984375,5155.22021484375,5109.240234375,5109.240234375,78507900
